token_id,T0,T1,T2,T3,T4,T0%,T1%,T2%,T3%,T4%
65300,0,89,0,0,0,0.0,0.3697702438821721,0.0,0.0,0.0
65311,0,0,181,0,0,0.0,0.0,3.2507183908045976,0.0,0.0
65320,0,0,0,12,0,0.0,0.0,0.0,0.02905006294180304,0.0
65328,0,0,6,0,0,0.0,0.0,0.10775862068965517,0.0,0.0
65336,0,0,6,0,0,0.0,0.0,0.10775862068965517,0.0,0.0
65382,0,10,0,0,0,0.0,0.0415472184137272,0.0,0.0,0.0
65433,12,0,0,0,0,0.05893909626719057,0.0,0.0,0.0,0.0
65460,0,6,0,0,0,0.0,0.024928331048236323,0.0,0.0,0.0
65481,8,0,0,0,0,0.03929273084479371,0.0,0.0,0.0,0.0
65511,0,0,0,97,0,0.0,0.0,0.0,0.23482134211290792,0.0
65516,0,21,0,0,0,0.0,0.08724915866882711,0.0,0.0,0.0
65525,0,16,0,0,0,0.0,0.06647554946196352,0.0,0.0,0.0
65544,0,0,12,0,0,0.0,0.0,0.21551724137931033,0.0,0.0
65551,0,0,0,8,0,0.0,0.0,0.0,0.019366708627868694,0.0
65560,0,0,6,0,0,0.0,0.0,0.10775862068965517,0.0,0.0
65575,0,6,0,0,0,0.0,0.024928331048236323,0.0,0.0,0.0
65669,0,0,0,0,24,0.0,0.0,0.0,0.0,0.2473971755489125
65687,0,6,0,0,0,0.0,0.024928331048236323,0.0,0.0,0.0
65690,0,0,6,0,0,0.0,0.0,0.10775862068965517,0.0,0.0
65694,0,6,0,0,0,0.0,0.024928331048236323,0.0,0.0,0.0
65709,0,0,0,6,0,0.0,0.0,0.0,0.01452503147090152,0.0
65729,0,73,0,0,0,0.0,0.30329469442020857,0.0,0.0,0.0
65742,0,0,0,13,0,0.0,0.0,0.0,0.03147090152028663,0.0
65774,44,0,0,0,0,0.21611001964636545,0.0,0.0,0.0,0.0
65787,80,0,0,0,0,0.3929273084479371,0.0,0.0,0.0,0.0
65789,0,0,0,24,0,0.0,0.0,0.0,0.05810012588360608,0.0
65808,0,0,0,72,0,0.0,0.0,0.0,0.17430037765081827,0.0
65818,53,0,0,0,0,0.26031434184675833,0.0,0.0,0.0,0.0
65821,18,0,0,0,0,0.08840864440078586,0.0,0.0,0.0,0.0
65827,25,0,0,0,0,0.12278978388998035,0.0,0.0,0.0,0.0
65863,0,0,21,0,0,0.0,0.0,0.3771551724137931,0.0,0.0
65866,26,0,0,0,0,0.12770137524557956,0.0,0.0,0.0,0.0
65899,0,0,25,0,0,0.0,0.0,0.4489942528735632,0.0,0.0
65907,0,84,0,0,0,0.0,0.34899663467530845,0.0,0.0,0.0
65928,0,0,0,20,30,0.0,0.0,0.0,0.04841677156967174,0.3092464694361406
65940,0,7,0,0,0,0.0,0.02908305288960904,0.0,0.0,0.0
65944,0,7,0,0,0,0.0,0.02908305288960904,0.0,0.0,0.0
65952,56,0,0,0,0,0.275049115913556,0.0,0.0,0.0,0.0
65960,0,0,0,47,0,0.0,0.0,0.0,0.11377941318872857,0.0
65966,0,339,0,0,0,0.0,1.4084507042253522,0.0,0.0,0.0
65976,0,0,0,142,0,0.0,0.0,0.0,0.34375907814466933,0.0
65981,0,0,0,356,0,0.0,0.0,0.0,0.8618185339401568,0.0
65996,0,0,0,10,0,0.0,0.0,0.0,0.02420838578483587,0.0
66053,0,14,0,0,0,0.0,0.05816610577921808,0.0,0.0,0.0
66091,0,36,0,0,0,0.0,0.14956998628941792,0.0,0.0,0.0
66137,0,0,0,7,0,0.0,0.0,0.0,0.016945870049385105,0.0
66145,0,15,0,0,0,0.0,0.06232082762059081,0.0,0.0,0.0
66152,14,0,0,0,0,0.068762278978389,0.0,0.0,0.0,0.0
66153,0,0,0,0,9,0.0,0.0,0.0,0.0,0.09277394083084219
66177,0,0,0,6,0,0.0,0.0,0.0,0.01452503147090152,0.0
66205,0,0,0,0,21,0.0,0.0,0.0,0.0,0.21647252860529845
66245,10,0,0,0,0,0.04911591355599214,0.0,0.0,0.0,0.0
66282,0,7,0,0,0,0.0,0.02908305288960904,0.0,0.0,0.0
66286,0,0,0,0,10,0.0,0.0,0.0,0.0,0.10308215647871354
66333,0,39,0,0,0,0.0,0.1620341518135361,0.0,0.0,0.0
66342,0,0,0,8,0,0.0,0.0,0.0,0.019366708627868694,0.0
66359,0,9,0,0,0,0.0,0.03739249657235448,0.0,0.0,0.0
