artist,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Ice Cube,-0.00010835087610150177,7.82615950862683e-05,9.921871586389752e-05,0.00030418803561218534,7.673071514951429e-05,3.889828957623908e-05,7.656276842813815e-05,8.028513046268796e-05,4.1964248029027926e-05,0.00018056000826543257
Ice-T,-0.00010154579733820637,-0.00010726948759486315,6.623038496027539e-05,7.306041985261201e-05,4.0588743677615906e-05,6.109739315205865e-05,5.69580196489431e-05,2.6867368963435168e-05,2.9873826469156397e-05,7.593856655962417e-05
Immortal Technique,-0.0001030155228173199,4.703271838613807e-05,7.952154268100034e-05,-5.6579632395971996e-05,3.36636245215147e-05,6.962426448551327e-05,5.0817242960830306e-05,1.3049555634327199e-05,2.3723865318302463e-06,5.420653370244042e-05
Insane Clown Posse,-0.0001001718618214806,5.201109230297747e-05,6.128191908248552e-05,-4.80957999952501e-05,1.631122454339067e-05,5.176421434658153e-05,3.465734467846893e-05,1.164299136557474e-05,1.892226292154784e-05,2.633573378695213e-05
J. Cole,-8.670158380686052e-05,6.175481378315954e-05,-1.742365002885513e-05,-5.045796824083532e-05,-3.668817625057817e-05,3.9474218487260045e-05,4.1382736803212204e-05,4.090683756039916e-05,1.81096086667082e-05,8.202205481725482e-05
JAY-Z,-9.535439642825617e-05,5.834908424697988e-05,-2.9926343860621093e-05,-6.399892409354304e-05,5.72197433284387e-05,3.630508344977443e-05,4.345736957924532e-05,2.9598043411216835e-05,4.06053708069253e-05,-4.042084460718093e-05
Jadakiss,-0.00010028954105899298,4.229411075264859e-05,8.564546537465236e-05,-1.2078308540289062e-05,3.6131921788344036e-05,6.95115853579642e-05,4.77294910505518e-05,4.148424236862482e-05,8.151656189565702e-06,7.195058299267696e-05
Jay Rock,-9.929054468265099e-05,5.424349399961088e-05,7.431360912200965e-05,-2.1096942480588828e-05,2.301860078352689e-05,5.824527664166644e-05,2.9866787089077777e-05,1.8065889861521482e-05,2.808251833158315e-05,1.1747254973706563e-06
Jean Grae,-9.401395228730206e-05,4.4724557512223914e-05,7.284295925626809e-05,-6.28380555591984e-05,3.606151767452372e-05,5.790898646565635e-05,4.179110497435397e-05,2.8811677380823473e-05,8.8326038738683e-06,5.3054816671083804e-05
Jedi Mind Tricks,-0.00010444609021465447,5.580713506842955e-05,8.471393532756484e-05,-6.673812967578676e-05,6.338520938302493e-05,2.3153267944998586e-05,4.864702930292433e-05,3.497571532952795e-05,4.4118933280141394e-05,-4.714852732322583e-05
Jeezy,-8.931426700263177e-05,5.83923038674415e-05,4.704017273724582e-05,-4.9753823956391366e-05,1.2965724930301391e-05,6.313378858479529e-05,9.561063424217926e-06,2.658714693340855e-05,2.1132747550478747e-05,2.882124923791281e-05
Joe Budden,-0.00010070252297889478,4.538997197269182e-05,7.438747247288401e-05,-1.89891301769101e-05,2.5415704655873673e-05,5.6633482200711426e-05,3.675207611487375e-05,8.03482511087023e-06,9.671887730042647e-07,5.054164503061504e-05
Joey Badass,-0.00010124603386002076,4.9400415762071365e-05,8.2012972245877e-05,-6.328276058457261e-05,4.1392536044159886e-05,7.022361260416174e-05,2.9508495530072995e-05,9.687410665764453e-06,1.8379436564687556e-05,3.9305885541498654e-05
Juelz Santana,0.0031136432131286377,7.219828545087018e-05,0.0001176179049672117,-0.00027099818496191725,9.44990085379689e-05,0.00041763258187559456,-0.00545067154032422,-3.798793824451481e-05,-8.625943727495057e-05,1.0769704583377488e-05
Juicy J,-0.00011244777029103985,6.346329880664528e-05,2.9270508467791366e-05,-7.232412856052684e-05,-0.00012167094751867557,8.06333733629352e-06,4.332240423717574e-05,6.019143456901123e-05,7.656004937499907e-05,-0.00013002170588891914
Juvenile,-0.00010080469185867115,3.82396183893219e-05,5.7450116262489443e-05,-3.750451361951045e-05,5.121626846586363e-06,4.451277163835252e-05,2.654488961606364e-05,3.1166527566441514e-05,8.252874698868293e-06,5.0723986958091685e-05
K-Rino,-9.957138780970918e-05,4.9378846232360614e-05,7.086476158574478e-05,-5.982693045650718e-05,3.243065621156857e-05,5.541543058095517e-05,4.180149066786057e-05,1.8094426091318024e-05,6.870512940304149e-06,3.686479964863028e-05
K.A.A.N.,-9.936641659380317e-05,4.433663789228986e-05,7.589366159974842e-05,-5.5434920433855766e-05,3.499606806318331e-05,5.3890983593528966e-05,3.22368256232182e-05,2.3925116701715385e-05,1.7174668826403535e-07,3.9437354267041635e-05
KRS-One,-0.00010887969225555796,-4.567276877040544e-05,2.6735467100870174e-05,-6.49330865103333e-05,5.5416879490787014e-05,8.151770659759245e-05,6.6100571105567e-05,2.0242307174602584e-05,2.767775750519957e-05,4.125374760905452e-05
Kano,-9.99759005080474e-05,5.596172638332831e-05,5.6446167152001775e-05,-6.66423084752286e-05,-5.697873564114235e-06,4.635712793458374e-05,3.1730384969844776e-05,2.5181270886902646e-05,1.4439033016014358e-06,4.323535562002606e-05
Kanye West,-9.350804742464253e-05,5.851820523764401e-05,3.403650670350769e-05,-4.857096510202616e-05,-2.3132347612860383e-05,5.1662524629121105e-05,3.0360202880899998e-05,3.113483439154945e-05,2.4521670172043854e-05,4.128951959065898e-05
Kendrick Lamar,-9.33544313184128e-05,6.192625818687278e-05,5.940116513213605e-05,-4.650119166258898e-05,2.6758043350861634e-05,6.785973414342898e-05,-1.1710910602326822e-05,4.321765708305935e-05,-6.857090104249696e-06,6.805758658610155e-05
Kevin Gates,-9.774729016519006e-05,5.208005794834898e-05,3.829639374888129e-05,-5.158012739946602e-05,2.5272575435791595e-05,5.858776415683374e-05,2.5633760895300577e-05,3.262256955647861e-05,1.5025592117849737e-05,4.736684646463385e-05
Kid Cudi,-9.040658017326346e-05,5.150943015949844e-05,6.205409022020098e-05,-6.825668772938046e-05,6.316934279106595e-05,-2.4396474609286393e-05,4.385556831238645e-05,3.44737563198672e-05,9.083580035553553e-06,5.58601466609952e-05
Kid Ink,-8.701781784350075e-05,5.0314562365433904e-05,5.9558595881660585e-05,-5.77566290756702e-05,-2.908444913772721e-06,4.815571888435959e-05,-2.9334008012051394e-05,2.429199536532288e-05,-9.674359054141368e-06,4.470501281372895e-05
Killah Priest,-0.00011518144267310631,6.936286018711611e-05,0.00012228262579617408,-9.655790496206404e-05,6.97737957967626e-05,0.00015529149134859191,0.00010076434511034122,1.8072399750569417e-05,6.452454222237668e-05,0.0001228471497990847
Kodak Black,-7.623436132230663e-05,4.759249599581359e-05,-1.2604616363925072e-05,-5.696867162029131e-05,-1.1111980364551488e-05,4.857482527540595e-05,3.752773913876505e-05,4.45043091052157e-05,8.140722946559312e-06,6.772936906041626e-05
Kool G Rap,-9.42313159841123e-05,4.773068815014182e-05,5.879839670130034e-05,-5.3951018289519156e-05,2.5595724426547566e-05,6.012176976663017e-05,4.462646532674156e-05,1.8560909447603267e-05,3.2260541819412544e-05,-2.181002517383655e-05
Kool Keith,-9.181649435293243e-05,5.099730929557012e-05,0.00012006286213500212,-8.875404049949124e-05,7.23934990860113e-05,0.00012523459982350722,7.008399876502053e-06,-0.00014609102830153686,8.504455052555447e-05,-0.00010575406353104501
LL Cool J,-0.00010435629257759982,-3.6501418546379797e-06,9.534456384618413e-05,-5.594889590156462e-05,4.033163637446841e-05,8.83073862275719e-05,6.828937945056963e-05,3.726456784548954e-05,2.3666414909474176e-05,2.6587894241561562e-05
Lecrae,-0.0001053043181274367,4.92982757837857e-05,7.180286002839425e-05,-6.562315343321996e-05,2.870072169345262e-05,7.281124930431332e-05,4.8663060388648825e-05,2.866607699984716e-05,1.536966974963868e-05,8.273496447433781e-05
Lil Baby,-9.624264798418213e-05,5.524903419554367e-05,1.185659170915928e-05,-5.239234986033807e-05,-3.816510946025181e-05,3.396757750712606e-05,2.3462246950454602e-05,3.864731135289218e-05,8.2074650260423e-06,6.312521984121152e-05
Lil Durk,-9.372776330487966e-05,5.535274721268543e-05,3.8015734658797434e-05,-4.5722178267016695e-05,8.204616817084944e-06,4.676259375283271e-05,3.320284214745902e-05,3.9330267373552136e-05,1.8507161663760023e-05,2.9424849700993988e-05
Lil Peep,-9.934598311783378e-05,6.106709101378084e-05,7.04565122375529e-05,-7.486207353031975e-05,2.658476785620189e-05,7.660408241713966e-05,6.425328587224886e-05,1.046977231176742e-05,2.5295762105194074e-05,0.00010940239049149527
Lil Uzi Vert,-4.2799165515141145e-05,9.485178232667782e-05,-0.0001602528892036277,-4.169400347602679e-05,-7.0638412160881e-05,4.675484361144513e-05,1.68254336369239e-05,0.00011572244390584958,4.899053762132373e-05,0.00015843976273381731
Lil Wayne,-9.287807633730666e-05,5.64282482106576e-05,1.801410661014226e-05,-4.27577478884212e-05,3.0508363256412018e-05,6.564429940158852e-05,3.0200692845548504e-05,3.292317193332735e-05,1.6774779361979754e-05,6.783127531000232e-05
Lil Yachty,-0.00012396621807391714,0.00032363895272278224,-0.006882771499726418,0.00041128891254465426,0.0006360683794977306,3.511661227784389e-05,-6.551359342637004e-05,-6.527000057407085e-05,-4.961227331082548e-05,-0.00010505302768636413
Lil’ Kim,-9.231314732979971e-05,4.975306902887016e-05,-2.359067040982428e-06,-5.4659629235548336e-05,3.7003906447301846e-05,7.08382272307135e-05,4.79359558351091e-05,3.3928205666590574e-05,2.3928906953938473e-05,1.969192455384754e-05
Logic,-9.502425406509142e-05,6.356528359318528e-05,-6.421140357336156e-07,-5.253354443962814e-05,-3.435774982492711e-07,6.345909995111552e-05,3.613549838642495e-05,5.806278596948561e-05,0.00011765394434571398,-0.00034819811391861724
Ludacris,-9.143623066801341e-05,4.678150677719121e-05,7.930590586180344e-05,-4.943731878808411e-05,3.2742210358074146e-05,7.103425240235757e-05,4.436566591585119e-05,2.7241730476046285e-05,1.3510251164240006e-05,4.348695890801974e-05
Lupe Fiasco,-9.691688506562809e-05,5.7704051898051606e-05,5.390735476355484e-05,-7.493301865271508e-05,5.8281299387410025e-05,3.327062527192165e-05,3.68165624046579e-05,2.6976352741612145e-05,-2.8379323810561888e-06,9.412286212131224e-05
MC Lyte,-0.00010606581912705255,3.7920145570539214e-05,8.504212930174832e-05,-7.551400702174944e-05,5.414882832357332e-05,9.866207624925127e-05,7.430993466396016e-05,3.703258689677653e-05,1.6169256262014112e-05,5.8724304565241986e-05
MF DOOM,-0.00011911222535712125,7.889439214822689e-05,0.00012895028659133374,-0.00015782837566145905,0.00013754726209226322,0.0002197856965500744,9.71911050216235e-05,-0.005095492664036292,-0.00022073629346649448,-0.0002749315888830993
Mac Dre,-9.926062949321291e-05,7.861792936701512e-05,0.000109601158806581,9.497155784974304e-05,-9.591947174800862e-05,6.316913077860866e-05,-6.242600048676823e-05,0.00013068215417205904,1.9232899486897493e-05,2.8286211027422423e-07
Mac Miller,-9.551751691829853e-05,5.176920880669237e-05,7.214835642876611e-05,-6.155432284271846e-05,2.4633362413400244e-05,6.202196886074908e-05,4.874435571781505e-05,2.941376020942056e-05,1.518976066050842e-06,5.9160571635737155e-05
Machine Gun Kelly,-8.308660614401197e-05,6.249422670420812e-05,1.9346468549684085e-05,-8.375394054707727e-05,0.00021405803193247003,-0.00034659836671517525,1.6696848108901736e-05,5.260585780673774e-05,1.9025327651110255e-05,0.00010326640404807416
Master P,-9.205768377678891e-05,6.232495365726458e-05,9.909814246292788e-05,0.00012729534432431427,1.684070214061458e-05,8.723243781850803e-05,8.226599688179296e-05,4.95546907757357e-05,6.653025546768466e-05,5.963319656344356e-05
Meek Mill,-9.545278234509765e-05,6.210872720212502e-05,-2.8903662702281998e-05,-6.721213810398176e-05,-0.0003610387777903824,-0.00012905524335526196,1.957118929425085e-05,2.253943026948103e-05,1.4143907728612916e-05,2.5503573387602504e-05
Method Man,-9.852208872072679e-05,5.412203197585265e-05,8.517399881676349e-05,-6.144595285539488e-05,8.238959695836815e-05,2.4089878319158095e-05,6.119317154741504e-05,4.2979210459830224e-05,7.538629857358522e-05,-0.00016545272782065397
Migos,-5.665867241993637e-05,0.0001040408228539586,-0.0002826408272147546,0.00014683572858298065,-4.601397177756889e-05,4.930662725832708e-05,-1.2780714803187877e-05,9.869729980690176e-05,6.152245764594673e-05,9.930703662740592e-05
Mobb Deep,-9.304965854143405e-05,4.816689131293494e-05,8.406024587566089e-05,-5.610209734858412e-05,3.500923298229003e-05,7.308013155370216e-05,4.43559343445937e-05,2.8603056654716387e-05,2.6958233024317373e-05,4.0270261206360624e-05
Murs,-0.00010291951479275722,5.047215762382774e-05,7.574467794999524e-05,3.543001927743698e-05,-6.373638205423355e-06,4.053445332131064e-05,2.968445458694118e-05,3.326442392895154e-05,-5.9054516294785976e-06,5.522921232517701e-05
NF,-9.187887142927847e-05,5.106699763556178e-05,4.681928114359193e-05,-6.056186567336796e-05,2.0325534651461744e-05,5.416971584378451e-05,3.0241120211649622e-05,2.2855285656203895e-05,2.7893959176963147e-06,5.617852149480041e-05
Nas,-8.238714161357882e-05,-1.918319011405842e-05,6.693838095348106e-05,-5.770035334264914e-05,3.4713845967608625e-05,6.187982163222112e-05,5.8491801866395305e-05,-7.322840044008472e-05,1.789446828805815e-05,4.857608965946126e-05
Nelly,-9.017396135765703e-05,3.294520784154296e-05,-3.465835752555141e-05,-4.072937749825062e-05,3.520330324896471e-05,6.855542791622216e-05,4.1875728814745426e-05,3.8573254953965754e-05,2.5904919910111987e-05,6.735452224146227e-05
Nicki Minaj,-9.961790276341283e-05,6.674650799121763e-05,-0.00016002859332307084,-4.127960966134474e-05,5.029235953245043e-05,8.249650716294527e-05,5.580924678531841e-05,4.420102177831529e-05,2.6015680009328053e-05,9.846213026750451e-05
