artist,T0,T1,T2,T3,T4,Topic
2 Chainz,0.22871046228710462,0.1678832116788321,0.0267639902676399,0.17153284671532848,0.4051094890510949,T4
21 Savage,0.12180974477958237,0.16589327146171692,0.0,0.382830626450116,0.3294663573085847,T3
2Pac,0.1706806282722513,0.28272251308900526,0.0,0.5465968586387434,0.0,T3
50 Cent,0.19344262295081968,0.18360655737704917,0.1,0.5131147540983606,0.009836065573770493,T3
A Boogie wit da Hoodie,0.13636363636363635,0.13818181818181818,0.0,0.11454545454545455,0.610909090909091,T4
A Tribe Called Quest,0.00904977375565611,0.5761689291101055,0.0693815987933635,0.3453996983408748,0.0,T1
Ab-Soul,0.16734143049932523,0.3319838056680162,0.12685560053981107,0.3738191632928475,0.0,T3
Action Bronson,0.4869109947643979,0.0,0.0,0.0,0.5130890052356021,T4
Aesop Rock,0.5116279069767442,0.3853820598006645,0.0,0.10299003322259136,0.0,T0
AsAP Ferg,0.2605042016806723,0.0,0.19887955182072828,0.5406162464985994,0.0,T3
AsAP Rocky,0.2366255144032922,0.09979423868312758,0.10699588477366255,0.4876543209876543,0.06893004115226338,T3
Atmosphere,0.375,0.4897959183673469,0.0,0.13520408163265307,0.0,T1
B.o.B,0.32608695652173914,0.14782608695652175,0.0,0.5260869565217391,0.0,T3
BROCKHAMPTON,0.14864864864864866,0.14671814671814673,0.0,0.6196911196911197,0.08494208494208494,T3
Beastie Boys,0.1550561797752809,0.6359550561797753,0.14157303370786517,0.06741573033707865,0.0,T1
Big Daddy Kane,0.0,0.915929203539823,0.0,0.084070796460177,0.0,T1
Big K.R.I.T.,0.2401883830455259,0.1726844583987441,0.0,0.5871271585557299,0.0,T3
Big L,0.22407407407407406,0.3574074074074074,0.0,0.4185185185185185,0.0,T3
Big Sean,0.21835883171070933,0.20305980528511822,0.0,0.5785813630041725,0.0,T3
Biz Markie,0.014314928425357873,0.8179959100204499,0.026584867075664622,0.1411042944785276,0.0,T1
Blackalicious,0.16903914590747332,0.4893238434163701,0.18149466192170818,0.1601423487544484,0.0,T1
Bone Thugs-N-Harmony,0.1316546762589928,0.19424460431654678,0.16546762589928057,0.25323741007194245,0.25539568345323743,T4
Brand Nubian,0.2334047109207709,0.5653104925053534,0.0,0.2012847965738758,0.0,T1
Brother Ali,0.3981191222570533,0.54858934169279,0.0,0.05329153605015674,0.0,T1
Bun B,0.2770352369380316,0.12029161603888214,0.04860267314702309,0.5540704738760632,0.0,T3
Busdriver,0.09046454767726161,0.6699266503667481,0.02444987775061125,0.21515892420537897,0.0,T1
Busta Rhymes,0.06885758998435054,0.3317683881064163,0.0,0.5993740219092332,0.0,T3
Cam’ron,0.06412478336221837,0.08665511265164645,0.09705372616984402,0.7521663778162911,0.0,T3
Canibus,0.18935643564356436,0.5742574257425742,0.0,0.23638613861386137,0.0,T1
Childish Gambino,0.3144016227180527,0.332657200811359,0.0,0.35294117647058826,0.0,T3
Common,0.14685314685314685,0.33916083916083917,0.027972027972027972,0.486013986013986,0.0,T3
CunninLynguists,0.34812286689419797,0.3174061433447099,0.07508532423208192,0.2593856655290102,0.0,T0
Cypress Hill,0.25775193798449614,0.23255813953488372,0.0,0.5096899224806202,0.0,T3
DMX,0.19247467438494936,0.12301013024602026,0.0,0.6845151953690304,0.0,T3
Danny Brown,0.3658051689860835,0.073558648111332,0.0,0.3976143141153082,0.16302186878727634,T3
Das EFX,0.23210412147505424,0.40563991323210413,0.0,0.3080260303687636,0.05422993492407809,T1
De La Soul,0.0,0.8237179487179487,0.0,0.1762820512820513,0.0,T1
Death Grips,0.1580246913580247,0.11851851851851852,0.2679012345679012,0.2,0.25555555555555554,T2
Del The Funky Homosapien,0.0,0.768595041322314,0.0,0.23140495867768596,0.0,T1
Denzel Curry,0.12886597938144329,0.05154639175257732,0.0,0.2268041237113402,0.5927835051546392,T4
Diddy,0.0571870170015456,0.21947449768160743,0.0,0.723338485316847,0.0,T3
Dizzee Rascal,0.17936507936507937,0.26031746031746034,0.3634920634920635,0.19682539682539682,0.0,T2
Drake,0.4274028629856851,0.3210633946830266,0.0,0.0,0.25153374233128833,T0
E-40,0.011727078891257996,0.21002132196162046,0.0,0.7377398720682303,0.04051172707889126,T3
Eminem,0.29908972691807545,0.40052015604681407,0.08322496749024708,0.21716514954486346,0.0,T1
Eve,0.028380634390651086,0.32387312186978295,0.08514190317195326,0.5626043405676127,0.0,T3
Fat Joe,0.15213675213675212,0.2512820512820513,0.0,0.5965811965811966,0.0,T3
Flatbush Zombies,0.3296398891966759,0.15096952908587258,0.0,0.5193905817174516,0.0,T3
Foxy Brown,0.09210526315789473,0.12030075187969924,0.15413533834586465,0.5827067669172933,0.05075187969924812,T3
Future,0.0,0.0387243735763098,0.21753986332574032,0.44874715261959,0.2949886104783599,T3
G-Eazy,0.08717105263157894,0.19078947368421054,0.07072368421052631,0.6085526315789473,0.04276315789473684,T3
GZA,0.16434540389972144,0.25348189415041783,0.0,0.5821727019498607,0.0,T3
Gang Starr,0.03546099290780142,0.5283687943262412,0.02304964539007092,0.41312056737588654,0.0,T1
Geto Boys,0.3864628820960699,0.12008733624454149,0.07423580786026202,0.4192139737991266,0.0,T3
Ghostface Killah,0.18452380952380953,0.15773809523809523,0.017857142857142856,0.6398809523809523,0.0,T3
Goodie Mob,0.19164619164619165,0.2727272727272727,0.0,0.5356265356265356,0.0,T3
Gucci Mane,0.2276536312849162,0.20251396648044692,0.008379888268156424,0.22346368715083798,0.33798882681564246,T4
Hopsin,0.31978319783197834,0.2994579945799458,0.0,0.3807588075880759,0.0,T3
Ice Cube,0.38640429338103754,0.22361359570661896,0.01073345259391771,0.37924865831842575,0.0,T0
Ice-T,0.1340782122905028,0.3016759776536313,0.0,0.5642458100558659,0.0,T3
Immortal Technique,0.2698612862547289,0.3656998738965952,0.0,0.3644388398486759,0.0,T1
Insane Clown Posse,0.25917252146760345,0.2716627634660422,0.17017954722872755,0.27634660421545665,0.02263856362217018,T3
J. Cole,0.17476851851851852,0.09953703703703703,0.05787037037037037,0.6678240740740741,0.0,T3
JAY-Z,0.0,0.3424036281179138,0.05895691609977324,0.5986394557823129,0.0,T3
Jadakiss,0.12355212355212356,0.277992277992278,0.0,0.5984555984555985,0.0,T3
Jay Rock,0.0,0.2728613569321534,0.0,0.47050147492625366,0.25663716814159293,T3
Jean Grae,0.1936619718309859,0.397887323943662,0.0,0.4084507042253521,0.0,T3
Jedi Mind Tricks,0.41304347826086957,0.33260869565217394,0.12391304347826088,0.13043478260869565,0.0,T0
Jeezy,0.09491978609625669,0.0,0.0,0.5962566844919787,0.3088235294117647,T3
Joe Budden,0.19793205317577547,0.29098966026587886,0.0,0.5110782865583456,0.0,T3
Joey Badass,0.0,0.4745508982035928,0.11077844311377245,0.41467065868263475,0.0,T1
Juelz Santana,0.12110726643598616,0.07958477508650519,0.0,0.3391003460207612,0.4602076124567474,T4
Juicy J,0.3728813559322034,0.014272970561998216,0.0,0.2488849241748439,0.3639607493309545,T0
Juvenile,0.15730337078651685,0.007778738115816767,0.0,0.4978392394122731,0.33707865168539325,T3
K-Rino,0.27899686520376177,0.5094043887147336,0.0,0.2115987460815047,0.0,T1
K.A.A.N.,0.24313725490196078,0.3862745098039216,0.0,0.37058823529411766,0.0,T1
KRS-One,0.17953020134228187,0.6409395973154363,0.0,0.17953020134228187,0.0,T1
Kano,0.2029520295202952,0.35977859778597787,0.23062730627306274,0.2066420664206642,0.0,T1
Kanye West,0.4481658692185008,0.23285486443381181,0.0,0.3189792663476874,0.0,T0
Kendrick Lamar,0.1896551724137931,0.27586206896551724,0.0,0.5344827586206896,0.0,T3
Kevin Gates,0.10147058823529412,0.11176470588235295,0.25735294117647056,0.40294117647058825,0.1264705882352941,T3
Kid Cudi,0.26804123711340205,0.32130584192439865,0.1718213058419244,0.23883161512027493,0.0,T1
Kid Ink,0.14052287581699346,0.19444444444444445,0.19117647058823528,0.4738562091503268,0.0,T3
Killah Priest,0.23529411764705882,0.5223529411764706,0.0,0.1976470588235294,0.04470588235294118,T1
Kodak Black,0.05303030303030303,0.14393939393939395,0.0,0.5984848484848485,0.20454545454545456,T3
Kool G Rap,0.16037735849056603,0.16981132075471697,0.12398921832884097,0.545822102425876,0.0,T3
Kool Keith,0.22384937238493724,0.33263598326359833,0.3179916317991632,0.12552301255230125,0.0,T1
